,Serial Number,County,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise City,Premise State,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other,Georeference,Lat,Long
4511,1183524,NEW YORK,OP,252,902634,BACBARS GROUP LLC,BAYARDS ALEHOUSE,116 CHARLES  ST AKA 533 HUDSON,HUDSON & CHARLES STREETS,NEW YORK,NY,10014,02/27/2019,02/28/2021,"RESTAURANT SERVING LIQUOR, WINE, CIDER AND BEER",,,,0.0,0.0
4515,1280556,NEW YORK,RW,341,835761,POMERANTZ EQUITIES LLC,MURRAY'S BAGELS CHELSEA,242 8TH AVE,,NEW YORK,NY,10011,10/22/2018,10/31/2020,RESTAURANT SERVING BEER CIDER & WINE ,,,,40.744736950000004,-73.99849414963606
4517,1312079,NEW YORK,OP,252,888285,SRPNYC INC,VALERIE,45 W 45TH ST,,NEW YORK,NY,10036,12/07/2018,11/30/2020,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER",Per TPA: 11:00am to 12:00 midnight,"Recorded and live (acoustic), no dancing  ",,40.7562438,-73.9812159
4535,1188724,NEW YORK,RW,341,839722,THE GREY DOG INC,,90 UNIVERSITY PLACE,11 & 12TH ST.,NEW YORK,NY,10003,05/02/2019,05/31/2021,RESTAURANT SERVING BEER CIDER AND WINE,,,,40.7337802,-73.9931439
4536,1240534,NEW YORK,OP,252,893534,2850 BROADWAY REST ASSOCIATES LLC,MEL'S BURGER,2850 BROADWAY,,NEW YORK,NY,10025,07/19/2018,07/31/2020,"RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",,Includes Sidewalk Cafe,,40.8044959,-73.9661283
4540,1268629,NEW YORK,OP,252,901962,SWEET HOSPITALITY GROUP,,416 W 42ND ST,PLAYWRIGHT'S HORIZONS THEATRE,NEW YORK,NY,10036,02/14/2019,02/28/2021,"BAR TAVERN SERVING BEER, CIDER, WINE AND LIQUOR",,No Music - No Dancing,,40.758608,-73.9936271
4543,1312093,NEW YORK,RW,341,830746,123 MADISON LLC,GOLDEN DINER,121 123 MADISON ST,,NEW YORK,NY,10002,03/14/2019,02/28/2021,"RESTAURANT SERVING WINE, BEER AND CIDER",CB3 Stip: Su-Wed 7am-12:am; Th-Sat 7am-1am ,"CB3 Stip: Recorded background music. No promoters, no happy hours, no outdoor area ",,42.93838183216481,-75.46216986417483
4545,1309522,NEW YORK,OP,252,888653,CHAMA MAMA LLC,,149 W 14TH ST,,NEW YORK,NY,10011,03/14/2019,02/28/2021,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,CB 4 Stips: 8am-11pm daily,"CB4 Stips :Backround Music.  No security, promotoers or dancing",,40.7384827,-73.99885782020579
4557,1257290,NEW YORK,AX,122,893939,1630 A NEW YORK DELI GROCERY INC,,1630 ST NICHOLAS AVE,,NEW YORK,NY,10040,10/02/2017,10/31/2020,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,40.8557682,-73.9286291577256
4564,1275395,NEW YORK,OP,252,900754,ALEGRE ORCHARD LLC,ALEGRE,146 ORCHARD ST,,NEW YORK,NY,10002,01/11/2019,12/31/2020,"RESTAURANT SERVING BEER, WINE AND LIQUOR CIDER",11:30am - 2am daily  - 35 tables with 59 seats - 12 seats at bar,No Outdoor areas - Doors and windows close 10pm - No happy hour - no wait line,,40.7205251,-73.98873343323461
4566,1025956,NEW YORK,OP,252,902591,AZUSA OF JAPAN INC,AZUSA OF JAPAN,3 E 44TH STREET,,NEW YORK,NY,10017,02/27/2019,02/28/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,,40.75469515,-73.97916401901938
4570,1294799,NEW YORK,HL,242,892878,GRANITE 1717 HOTEL LLC/INTERSATE MANAGEMENT CO LLC,COURTYARD BY MARRIOTT-CENTRAL PARK / RESIDENCE INN,1717 BROADWAY,,NEW YORK,NY,10019,06/22/2018,07/31/2020,HOTEL SERVING LIQUOR WINE BEER AND CIDER,CB 5 Stips: Su-Th closed 11:59 pm; Fr/Sa closed at 2am,CB 5 Stips:  No patrons on terrance when closed,,40.764399499999996,-73.9827379712101
4573,1246682,NEW YORK,OP,252,899008,BROADWATER & PEARL ASSOCIATES LLC,FRAUNCES TAVERN,54 PEARL ST,,NEW YORK,NY,10004,10/25/2018,10/31/2020,BAR/TAVERN/RESTAURANT SERVING LIQUOR WINE & BEER CIDER,,"Recorded Music, No Dancing, Food Served",,40.7036013,-73.9876695
4577,1252657,NEW YORK,OP,252,905874,MI RANCHITO MEXICAN RESTAURANT INC,,1468 ST NICHOLAS AVE,,NEW YORK,NY,10033,05/10/2019,05/31/2021,RESTAURANT SERVING LIQUOR BEER AND WINE CIDER,,,,40.85075045000001,-73.932296134291
4582,1293305,NEW YORK,HL,242,899209,EVEN HOTEL GRAND CENTRAL LLC&IHG MGMNT(MARYLAND) ,EVEN HOTEL NEW YORK-MIDTOWN EAST,219 E 44TH ST,,NEW YORK,NY,10017,11/05/2018,11/30/2020,HOTEL SERVING LIQUOR WINE BEER & CIDER ,,Recorded Music ,,40.75186025,-73.97234060562664
4583,1297126,NEW YORK,OP,252,897714,E116TH STREET COCKTAIL GROUP LLC,LION LION,332 E 116TH ST,,NEW YORK,NY,10029,10/01/2018,09/30/2020,"BAR/TAVERN SERVING BEER, WINE, CIDER AND LIQUOR",CB11 Stips: 5pm-4am M-F; 12pm-4am Sa-Su & Rear Yard Closed 11pm Daily ,Recorded Music - Licensed Rear Yard ,,40.7962657,-73.93659055
4594,1299436,NEW YORK,OP,252,904956,MTGEBHARD LLC,GEBHARD'S BEER CULTURE,228 W 72ND ST,,NEW YORK,NY,10023,04/11/2019,04/30/2021,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,,"Recorded/Live Music, Licensed Sidewalk Cafe ",,40.7789874,-73.9831565533778
4597,1210976,NEW YORK,OP,252,899225,CITY WINERY NEW YORK LLC,CITY WINERY,143 VARICK ST,SPRING & VANDAM,NEW YORK,NY,10013,11/05/2018,11/30/2020,RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,, (alcohol starts at 12 noon),,40.7261841,-74.0058782
4603,1102433,NEW YORK,A,122,896472,MURAD ALI,M A GROCERY,127 LUDLOW STREET ,RIVINGTON & DELANCEY,NEW YORK,NY,10002,01/25/2018,02/28/2021,GROCERY STORE SELLING BEER AND CIDER ONLY,,,,40.7199767,-73.988533
4605,1210735,NEW YORK,OP,252,900453,79 RESTAURANT GROUP INC,WHISKEY TAVERN,79 BAXTER ST,CANAL & WHITE ST,NEW YORK,NY,10013,12/24/2018,12/31/2020,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,,Includes use of Backyard Garden Sun-Thurs until 11:00PM and Fri & Sat until 12:00 Midnight,,40.7165068,-73.9998287
4639,1280610,NEW YORK,RW,341,836068,NOODLE INVESTORS INC,GOEMON CURRY,29 KENMARE ST,,NEW YORK,NY,10012,04/11/2019,01/31/2021,RESTAURANT SERVING WINE CIDER AND BEER CIDER,CB2 APPROVED HRS OF OPERATION: 11AM to 11PM 7 Days A Week,"RECORDED MUSIC PERMITTED, NO DANCING",,40.7207782,-73.9950452
4647,1265215,NEW YORK,OP,252,897964,FOYER LLC ,BXL ZOUTE,50 W 22ND ST,,NEW YORK,NY,10010,10/05/2018,10/31/2020,"RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER","Close by 12:00 AM Sun, Mon, Tues, Wed, 1:00AM Thur, Fri, Sat.",Front windows closed at 10:00 PM no live music or DJ.,,42.731671000000006,-73.69951449999999
4649,1253046,NEW YORK,OP,252,906003,NEWSTEAD RESTAURANT LLC,LEFT BANK,117 PERRY ST,,NEW YORK,NY,10014,05/14/2019,05/31/2021,RESTAURANT SERVING LIQUOR BEER CIDER AND WINE,,,,40.7351369,-74.00673
4651,1267594,NEW YORK,OP,252,900258,47 W 8TH STREET OPERATING GROUP INC,AUNT JAKE'S,47 W 8TH ST,,NEW YORK,NY,10011,12/14/2018,12/31/2020,"RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER",CB2 STIP: SUN-THURS 5PM-1230AM & FRI-SAT 5PM-2AM,"RECORDED MUSIC PERMITTED, NO DANCING",,42.71605943609095,-73.70406514661346
4655,1202328,NEW YORK,RW,341,840236,TRATTORIA PESCE PASTA RESTAURANT CORP,TRATTORIA CASA DI ISACCO,536 9TH AVE,39TH & 40TH ST,NEW YORK,NY,10018,06/20/2019,06/30/2021,RESTAURANT SERVING WINE CIDER & BEER,,BACKGROUND MUSIC PLAYED ALL HOURS,,40.7568531,-73.9935485
4656,1307958,NEW YORK,OP,252,888643,KANG NEUNG JIP INC,DUBUMARU,34 W 32ND ST ,2ND FL,NEW YORK,NY,10001,03/13/2019,02/28/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER",,Recorded Music Permitted and No Dancing,,40.658705222222224,-74.00582381481482
4663,1126813,NEW YORK,OP,252,893628,BROADWAY REGENCY RESTAURANT LLC & STRATEGIC DREAM ,MIDTOWN RT LLC AS MGR/ DBA PHD TERRACE,210 W 55TH STREET,BROADWAY & 7TH AVENUE,NEW YORK,NY,10019,07/24/2018,07/31/2020,"TAVERN SERVING LIQUOR, WINE, BEER, & CIDER","CB5 Stip:15th Floor - close no later than 4am, 16th floor-close no later than 4am",,,40.7643557,-73.9817987
4667,1159283,NEW YORK,RW,341,838779,WARLORD ENTERPRISES LLC,DESNUDA,122 E 7TH ST,#STOW,NEW YORK,NY,10009,01/23/2019,01/31/2021,RESTAURANT SERVING BEER CIDER AND WINE,,,,42.71413158,-73.70560832
4668,1311633,NEW YORK,RW,341,830523,TOMO NEW YORK INC,TEPPEN RAMEN,159 E 55TH ST,,NEW YORK,NY,10022,09/06/2018,08/31/2020,"RESTAURANT SERVING WINE, BEER AND CIDER",CB6 Stips: Mon-Sat 11AM to 1AM; Sun 11AM to 11PM,Recorded Music Permitted and No Dancing,,40.646913000000005,-74.02069191836735
4686,1313715,NEW YORK,OP,252,888649,DEATH & CO EAST VILLAGE LLC,DEATH & CO ,433 E 6TH ST,,NEW YORK,NY,10009,03/13/2019,02/28/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER",CB 3 Stips: Sun-Thur: 6pm-2am; Fri & Sat: 6pm-3am,"Restaurant serving food all hrs open, no open doors/windows",,40.7259358,-73.9846566
4693,1026842,NEW YORK,OP,252,898951,65TH STREET RESTAURANT LLC,DANIEL,60 E 65TH ST,AKA 610 PARK AVE,NEW YORK,NY,10021,10/24/2018,11/30/2020,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,,40.7667776,-73.9675711
4700,1028351,NEW YORK,RL,241,902197,AUGUST VAZAC RESTAURANT INC,VAZAC'S,108 AVENUE B,,NEW YORK,NY,10009,02/20/2019,02/28/2021,TAVERN SERVING BEER WINE CIDER AND LIQUOR,,,,40.7250437,-73.981466
4722,1208453,NEW YORK,CT,246,893780,COMPASS GROUP USA INC,,1345 AVE OF THE AMERICAS 18TH ,,NEW YORK,NY,10105,07/30/2018,08/31/2020,"CATERING FACILITY SERVING LIQUOR, WINE, CIDER & BEER",,,,0.0,0.0
4729,1207063,NEW YORK,DX,126,900674,CVS ALBANY LLC,CVS/PHARMACY #2434,338 E 23RD ST,,NEW YORK,NY,10010,05/31/2018,06/30/2021,DRUG STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,40.7370356,-73.979315
4732,1029828,NEW YORK,RW,341,839564,GENIOR INC,SETTE MEZZO,969 LEXINGTON AVENUE,,NEW YORK,NY,10021,04/17/2019,04/30/2021,RESTAURANT SERVING WINE AND BEER CIDER,,,,40.769254000000004,-73.96274811733204
4740,1313638,NEW YORK,OP,252,889154,TACOS LOS VAQUEROS LLC,TACOMBI UPPER WEST SIDE,377 AMSTERDAM AVE,,NEW YORK,NY,10024,07/30/2019,04/30/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER & CIDER",CB 7 Stips: Closing 2:00am daily,Music: Recorded,,40.7825102,-73.9785637
4744,1034272,NEW YORK,VL,240,907112,HRC MARINE INC,,23RD ST & EAST RIVER MARINA,,NEW YORK,NY,10005,06/21/2019,06/30/2021,"VESSEL SERVING BEER, WINE, CIDER, & LIQUOR",,,,0.0,0.0
4752,1312630,NEW YORK,RW,341,830785,LAO MA MA LA TANG INCORPORATED,,58 E 8TH ST,,NEW YORK,NY,10003,04/09/2019,03/31/2021,"RESTAURANT SERVING WINE, BEER AND CIDER",CB2 Stips: Sun - Sat 7AM to 11PM,Recorded Music Permitted. No Dancing. Use of the Outdoor Space is Prohibited,,42.716039729704974,-73.70414889875386
4760,1260171,NEW YORK,L,222,896089,BUNDA STARR CORP,BRITE BUY DISCOUNT LIQUORS,68 FRANKLIN ST ,,NEW YORK,NY,10013,12/28/2017,02/28/2021,LIQUOR STORE SELLING LIQUOR AND WINE,,,,40.6668858,-73.42241768129773
4761,1025438,NEW YORK,OP,252,900627,57 GRAND STREET CAFE CORP,TOAD HALL,57 GRAND STREET,,NEW YORK,NY,10013,01/07/2019,01/31/2021,"TAVERN SERVING LIQUOR, WINE, BEER, & CIDER",,,,40.7160305,-73.965091
4766,1255449,NEW YORK,OP,252,894030,168 ORCHARD ST PARTNERS INC ,HAIR OF THE DOG,168 170 ORCHARD ST,,NEW YORK,NY,10002,08/07/2018,08/31/2020,"RESTAURANT BAR/TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",CB3 approves hrs: M-S 11:30am through 4:00am; facade windows doors closed at 10:00pm,Recorded music; security every evening until closing,,42.61951389710228,-73.86504794177019
4769,1316096,NEW YORK,OP,252,888986,LOULOU LLC,BABS,72 MACDOUGAL ST,,NEW YORK,NY,10012,06/11/2019,05/31/2021,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,"CB#2 Stips:Hrs Su-M 8:30am-1am Tu-Sa 8:30am-2am; No DJs, Promoted Events, Ropes/Cover Fees.  ","Background Recorded Music Only, No Dancing, No Outdoor Areas, All Doors/Windows Close at 10pm",,40.67925235,-73.91828235
4775,1262641,NEW YORK,OP,252,894299,WONDERFUL RESTAURANT LLC,IL MULINO NEW YORK UPTOWN,37 EAST 60TH ST,,NEW YORK,NY,10022,08/20/2018,08/31/2020,ON PREMISE LIQUOR WINE & BEER CIDER,,,,40.76414615,-73.97018226425654
4777,1208005,NEW YORK,OP,252,893888,DYLAN'S CANDYBAR LLC,,1011 3RD AVENUE,60TH ST & 61ST STREETS,NEW YORK,NY,10021,08/02/2018,07/31/2020,TAVERN SERVING BEER WINE AND LIQUOR CIDER,,,,40.7623787,-73.9657304
4794,2167439,NEW YORK,VL,240,902478,NCL BAHAMAS LTD,NORWEGIAN GEM,711 12TH AVENUE,,NEW YORK,NY,10019,02/25/2019,02/28/2021,"VESSEL SERVING BEER, WINE, CIDER & LIQUOR",,Music Permitted,,40.768413699999996,-73.99674695570906
4796,1158389,NEW YORK,RW,341,840040,49 HUA XIA RESTAURANT INC,,49 DIVISION ST,MARKET ST. & CATHERINE ST.,NEW YORK,NY,10002,05/29/2019,06/30/2021,RESTAURANT SERVING BEER CIDER & WINE,CB3 Stip: Open Daily 11am-12am; Close any Front/Rear facade Doors and windows at 10pm Daily,Recorded Background Music Only,,40.714051049999995,-73.99517206165416
4799,1279729,NEW YORK,OP,252,899413,33 CAPTAIN CLAWS INC,CAJUNSEA,32 WEST 33RD ST,STORE 5.  AKA 34 W 33RD ST,NEW YORK,NY,10001,11/14/2018,10/31/2020,"RESTAURANT SERVING BEER, WINE AND LIQUOR CIDER",,Recorded Music,,40.7483522,-73.9868499
4800,1284957,NEW YORK,RW,341,839983,BENTO NOUVEAU INC,BENTO SUSHI,685 3RD AVE,SUITE 106,NEW YORK,NY,10017,05/22/2019,04/30/2021,RESTAURANT SERVING BEER CIDER & WINE ONLY,"CB6 STIP: M-TH 9AM-830PM,F-SU 9AM-12AM ","no french doors,no outdoor space",,40.75160955,-73.97339351678806
4803,1281745,NEW YORK,OP,252,899135,INTERNATIONAL HOSPITALITY CONCEPTS LLC,LA LOTERIA,29 7TH AVE S,STORE A,NEW YORK,NY,10014,10/31/2018,11/30/2020,"RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER","CB 2 Stips: Su-Th 8AM-12AM,  F-Sa 8AM-2AM","Background Music Only, Windows/Doors close at 9 PM",,40.7307988,-74.0042136
4807,1284715,NEW YORK,AX,122,897438,ALLY'S SMOKES AND MAGAZINES INC,,158 W 30TH ST,STORE #2,NEW YORK,NY,10001,03/14/2018,04/30/2021,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,40.7482248,-73.99227350000001
4816,1295731,NEW YORK,OP,252,894259,HUDSON HEIGHTS BAR & GRILL CORP,BAR 180,4241 BROADWAY,AKA 701 W 180TH ST,NEW YORK,NY,10033,08/16/2018,08/31/2020,BAR/TAVERN SERVING LIQUOR WINE BEER AND CIDER,CB12 Stips:  Su-Th 12pm-2am; Fr/Sa 12pm-4am,CB12 Stips: No DJ  Posting of Good Neighbor Sign (English/Spanish),,40.8498121,-73.9363744
4819,1130663,NEW YORK,OP,252,895187,48 E SEVENTH STREET ASSOCIATES INC,VIA DELLA PACE,48 E 7TH STREET,1ST & 2ND AVENUES,NEW YORK,NY,10003,09/14/2018,10/31/2020,RESTAURANT SERVING BEER CIDER WINE & LIQUOR,,,,42.71398141666667,-73.70499754166667
4830,1300443,NEW YORK,RW,341,839878,ZO GRAND LLC,SUSHI ZO HANARE,127 E 39TH ST ,,NEW YORK,NY,10016,05/14/2019,05/31/2021,"RESTAURANT SERVING WINE, BEER AND CIDER",,Recorded Music Permitted and No Dancing,,40.7497373,-73.9776384
4832,1174745,NEW YORK,AX,122,899917,BENITO LEZAMA,EL PUEBLO MEXICANO GROCERY,238 E 116TH ST,116TH ST 2ND & 3RD AVENUES,NEW YORK,NY,10029,05/09/2018,06/30/2021,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,40.7971408,-73.9385361
4836,1157472,NEW YORK,A,122,891862,FAIZ ALGABYALI & ABDO ALSABHI,1622 AMSTERDAM DELI & GROCERY,1622 AMSTERDAM AVENUE,139TH & 140TH STREETS,NEW YORK,NY,10031,06/12/2017,07/31/2020,GROCERY STORE SELLING BEER & CIDER ,,,,40.8220269,-73.9501792
4837,1280035,NEW YORK,AX,122,893126,IN & OUT TOBACCO DELI CORP,,1020 6TH AVE,,NEW YORK,NY,10018,08/09/2017,08/31/2020,GROCERY STORE SELLING BEER CIDER  AND WINE PRODUCTS,,,,40.7524081,-73.9856669
4842,1171472,NEW YORK,EB,141,899108,EDEN FOOD LLC,CAFE DUKE,140 W 51ST ST AKA 135 W 50TH S,6TH AVENUE & 51ST STREET,NEW YORK,NY,10020,04/13/2018,04/30/2021,RESTAURANT SERVING BEER AND CIDER,,,,0.0,0.0
4843,1239938,NEW YORK,OP,252,894626,R & M RESTAURANT CORP,,1261 1263 ST NICHOLAS AVENUE,,NEW YORK,NY,10033,08/29/2018,08/31/2020,RESTAURANT SERVING BEER WINE CIDER & LIQUOR,,,,40.844285,-73.937534
4856,1313293,NEW YORK,OP,252,888216,ZETA 383 CORP,MY FRIEND DUKE,383 THIRD AVE,,NEW YORK,NY,10016,11/20/2018,10/31/2020,"RESTAURANT SERVING BEER, WINE, CIDER AND LIQUOR",,Recorded Music,,42.98085417141123,-78.70130670089684
4860,1266043,NEW YORK,OP,252,899756,530 2ND AVE WINE BAR CORP,VANGUARD WINE BAR,530 2ND AVE,,NEW YORK,NY,10016,11/28/2018,11/30/2020,"BAR/TAVERN SERVING BEER, CIDER, WINE AND LIQUOR",CB 6 STIP: HOURS OPEN 7 DAYS A WEEK 11:00AM TO 2:00AM; ALL WINDOWS & DOORS MUST BE CLOSED BY 11:00 PM,RECORDED MUSIC ONLY; JAZZ TYPE BRUNCH ALLOWED,,40.7418537,-73.9777299
4874,1314475,NEW YORK,OP,252,888508,8TH AVE TRATTORIA INC,AROMA TRATTORIA,932 8TH AVE,,NEW YORK,NY,10019,02/11/2019,01/31/2021,RESTAURANT SERVING BEER WINE CIDER & LIQUOR,,DJ/Juke Box/Live Music,,40.765484,-73.9835479
4877,1264767,NEW YORK,OP,252,903051,343 BROOME STREET RESTAURANT INC ,RANDOLPH BEER ,343 BROOME ST ,,NEW YORK,NY,10013,03/06/2019,03/31/2021,"RESTAURANT SERVING BEER, CIDER, WINE & LIQUOR ","CB2 Stip: Su-Th 12PM-12AM,F-Sa 12PM-2AM,Sidewalk close 10pm ","LiveMusic Sa&Su 11AM-5PM, Recorded Music all other HRS, Window/ Doors close 10pm",,40.719112243902444,-73.99379197560975
4883,1034198,NEW YORK,TL,252,902550,980 REST INC,PARIS BLUES BAR,2021 7TH AVENUE,,NEW YORK,NY,10027,02/26/2019,02/28/2021,"TAVERN SERVING BEER, CIDER, WINE AND LIQUOR",,,,40.8064034,-73.9498758
4885,1243641,NEW YORK,OP,252,894392,PEI MUSSEL KITCHEN LLC,FLEX MUSSELS,154 W 13TH STREET,,NEW YORK,NY,10011,08/23/2018,08/31/2020,RESTAURANT SERVING ON PREMISE ALCHOL,,,,40.7374982,-73.9996241
4886,1308022,NEW YORK,OP,252,888049,SKY BLUE HOSPITALITY LLC,HALL,17 W 20TH ST,,NEW YORK,NY,10011,10/10/2018,09/30/2020,"RESTAURANT SERVING LIQUOR, WINE BEER AND CIDER","CB5 Stip: close premises by 11pm nightly, limited to thepublic dining area on ground floor, will not operate as nightclub",,,42.730518789473685,-73.69969205263158
4909,1026166,NEW YORK,OP,252,902112,APPLEJACK COFFEE SHOP INC,,1725 BROADWAY,,NEW YORK,NY,10019,02/19/2019,02/28/2021,"RESTAURANT SERVING LIQUOR, WINE, AND BEER CIDER",,,,40.7646805,-73.9824427
4910,1283208,NEW YORK,OP,252,903887,165 W 26TH REST LLC,SID GOLD'S REQUEST ROOM,165 W 26TH ST,,NEW YORK,NY,10001,03/26/2019,03/31/2021,BAR/TAVERN SERVING BEER WINE & LIQUOR CIDER,,,,40.7458591,-73.9936087
4918,1218167,NEW YORK,OP,252,900610,187 RESTAURANT CORP,REFRIED BEANS MEXICAN GRILL,591 FORT WASHINGTON AVENUE,186TH & 187TH STREETS,NEW YORK,NY,10033,01/04/2019,01/31/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER",7 days 11:00 am - 11:00 pm,,,40.85491124489796,-73.93706118367346
4929,1028375,NEW YORK,RL,241,901559,VAL MAC RESTAURANT INC,,113 W 13TH STREET,,NEW YORK,NY,10011,02/06/2019,02/28/2021,"RESTAURANT SERVING LIQUOR, WINE, CIDER AND BEER",,,,40.7370892,-73.9979596
4935,1304452,NEW YORK,AX,122,882167,PC4WEST INC,SUNAC,4 W 18TH ST,,NEW YORK,NY,10011,11/09/2017,10/31/2020,GROCERY STORE SELLING BEER AND WINE PRODUCTS,,,,40.666608833333335,-73.99780729166667
4938,1283727,NEW YORK,AX,122,897339,CJ RESTAURANT COMPANY INC,DELICACY,12 E 44TH ST,,NEW YORK,NY,10017,03/08/2018,02/28/2021,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,40.65358005102041,-74.0154716632653
4940,1203960,NEW YORK,HL,242,888977,SOHO VILLAGE HOTEL LLC & SAN MARINO AT SOHO INC,FOUR POINTS BY SHERATON & SAN MARINO RISTORANTE,66 CHARLTON ST,HUDSON ST AND VARICK ST,NEW YORK,NY,10013,06/11/2019,07/31/2020,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,CB #2 stips: Interior hours 6am-2am daily;No sidewalk cafe;Doors/windows closed at all times;Background music only; ,"Outdoor bar open 11am-10pm daily, bar service ends by 9pm. No exterior tv's, speakers, heaters or music",,40.7269401,-74.00612155
4944,1302086,NEW YORK,TW,344,915390,FDOTG LLC,FRANKIE'S DOGS ON THE GO,23 VANDERBILT AVE -SPACE# K-03,,NEW YORK,NY,10017,05/10/2019,05/31/2021,"BAR/TAVERN SERVING WINE, BEER, & CIDER",,,,0.0,0.0
4955,1313763,NEW YORK,HL,242,888707,HILTON GRAND VACATIONS MANAGEMENT LLC,THE QUIN,101 W 57TH ST,,NEW YORK,NY,10019,04/03/2019,03/31/2021,"HOTEL LIQUOR SERVING LIQUOR, WINE, BEER AND CIDER",,Recorded Music Permitted and No Dancing,,40.7646529,-73.9774764
4958,1279827,NEW YORK,RW,341,835670,FLAMING KITCHEN INC,,97 BOWERY,,NEW YORK,NY,10002,09/17/2018,09/30/2020,"RESTAURANT SERVING BEER, WINE, & CIDER",,,,40.7173326,-73.99501702913935
4961,1244258,NEW YORK,OP,252,897954,134 WEST 3RD ST REST INC,3 SHEETS SALOON,134 W 3RD STREET,,NEW YORK,NY,10012,10/05/2018,10/31/2020,"BAR/TAVERN SELLING BEER, WINE, LIQUOR, & CIDER",DOORS & WINDOWS MUST BE CLOSED BY 10:00PM EVERY NIGHT ,"RECORDED MUSIC & NO DANCING, FOOD SERVED",,40.7307334,-74.0009872
4969,1205700,NEW YORK,OP,252,897707,TUAM NEW YORK INC,JAKE'S SALOON,202 9TH AVENUE,22ND & 23RD STREETS,NEW YORK,NY,10011,09/27/2018,09/30/2020,"RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",,French doors to close at 10pm Sun thru Thurs and by midnight Fri and Sat,,40.7459099,-74.0013265859009
5000,1268448,NEW YORK,OP,252,900907,DISHFUL INC,CAFE PETISCO,189 E BROADWAY,JEFFERSON ST,NEW YORK,NY,10002,01/16/2019,01/31/2021,"RESTAURANT SERVING BEER, WINE AND LIQUOR CIDER","CB Stip: Hrs:Mon-Sun 8am-12am,Sidewalk cafe Su 10am-10:30pm, M-Th 8am-10:30pm; 8am-11pm Fr-Sa ","Only Recorded Music-No Dancing, No outdoor music",,40.70993206,-73.96186444
5001,1297762,NEW YORK,OP,252,900435,PARIS CAFE LLC,PARIS CAFE ,42 PECK SLIP,,NEW YORK,NY,10038,12/21/2018,12/31/2020,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER",CB1 Stips: 11am through 4am daily; 12pm opening on Sundays,Recorded Music Permitted and No Dancing,,40.70853966666667,-74.00231891666667
5005,1259044,NEW YORK,OP,252,893899,SOUTH LAKE HOSPITALITY GROUP INC ,HARLEM PUBLIC ,3612 BROADWAY ,,NEW YORK,NY,10031,08/02/2018,08/31/2020,"RESTAURANT SERVING BEER, CIDER WINE & LIQUOR",,Recorded Music,,40.8287067,-73.9484556
5009,1163482,NEW YORK,RW,341,839975,EL SAYED I CORP,HORUS KEBAB HOUSE,93 AVENUE B,EAST 6TH & E 7TH STREETS,NEW YORK,NY,10009,05/21/2019,05/31/2021,RESTAURANT SERVING WINE CIDER AND BEER,,,,40.7245431,-73.9814615
5015,1276806,NEW YORK,HL,242,893696,PH NEW YORK LLC & HYATT CORPORATION,PARK HYATT NEW YORK,153 WEST 57TH ST,,NEW YORK,NY,10019,07/26/2018,07/31/2020,"HOTEL SERVING BEER, WINE, LIQUOR, & CIDER",,No Use of 2nd floor outside terrace; Approved for guest room terraces ,,40.7654216,-73.9793143
5016,1297727,NEW YORK,OP,252,901898,132 7TH AVE REST LLC,MOTEL MORRIS,132 7TH AVE,,NEW YORK,NY,10011,02/13/2019,02/28/2021,"RESTAURANT SERVING BEER, WINE, CIDER AND LIQUOR","CB 4 Stip: M-Su : 9am-2am, Music: 9am-12am",Recorded Music. Licensed Sidewalk Cafe,,40.7410077,-73.9981275
